fresh-0000	5,16	21,3	22,14	7,15	15,7	2,0	curve_fresh-0000.tsv
fresh-0001	5,14,9	15,1,9	0,1,1	15,25,12	2,1,1	0,0,0	curve_fresh-0001.tsv
fresh-0002	4,2,17,20	21,24,24,7	152,71,184,174	2,7,2,14	94,126,153,92	8,8,2,0	curve_fresh-0002.tsv
fresh-0003	34,38	97,108	22,16	4,14	14,22	2,0	curve_fresh-0003.tsv
fresh-0004	16,6,10	11,9,12	11,11,3	4,7,2	20,2,16	4,0,0	curve_fresh-0004.tsv
fresh-0005	8,22,19,20	24,20,21,7	0,1,0,2	17,21,14,14	0,2,1,1	2,0,1,4	curve_fresh-0005.tsv
fresh-0006	17,15	16,18	153,106	24,20	30,50	2,0	curve_fresh-0006.tsv
fresh-0007	76,22,154	143,184,200	4,21,5	6,3,18	7,14,0	0,0,0	curve_fresh-0007.tsv
fresh-0008	1,10,16,21	23,5,4,2	8,5,7,5	21,16,4,14	0,14,17,19	0,1,0,0	curve_fresh-0008.tsv
fresh-0009	15,5	16,13	2,2	24,21	1,2	0,0	curve_fresh-0009.tsv
fresh-0010	6,4,9	0,21,2	173,24,154	20,1,18	192,119,160	0,1,0	curve_fresh-0010.tsv
fresh-0011	178,143,199,56	131,75,145,189	9,0,8,23	23,24,20,2	0,11,24,6	0,4,0,7	curve_fresh-0011.tsv
fresh-0012	23,10	10,21	5,4	4,10	9,8	0,1	curve_fresh-0012.tsv
fresh-0013	13,22,12	0,4,1	0,1,0	25,12,10	1,1,1	6,4,0	curve_fresh-0013.tsv
fresh-0014	10,22,12,23	4,22,5,2	21,146,191,141	9,18,12,2	170,134,177,127	0,0,11,0	curve_fresh-0014.tsv
fresh-0015	36,185	68,74	19,7	3,20	0,8	2,0	curve_fresh-0015.tsv
fresh-0016	14,17,18	6,15,22	20,11,11	9,13,10	15,15,13	4,4,0	curve_fresh-0016.tsv
fresh-0017	15,19,2,4	10,14,21,11	1,2,0,0	7,18,17,11	0,2,0,1	2,12,0,0	curve_fresh-0017.tsv
fresh-0018	12,22	19,18	109,55	6,4	176,155	2,0	curve_fresh-0018.tsv
fresh-0019	92,114,172	110,26,158	1,7,17	21,5,23	15,15,16	4,0,0	curve_fresh-0019.tsv
fresh-0020	11,22,11,20	4,9,22,9	12,12,22,6	23,10,3,11	23,12,15,2	4,0,8,0	curve_fresh-0020.tsv
fresh-0021	12,18	20,18	0,2	4,7	0,0	0,0	curve_fresh-0021.tsv
fresh-0022	12,10,23	11,0,3	20,131,146	21,1,22	179,52,146	0,0,3	curve_fresh-0022.tsv
fresh-0023	114,121,80,99	92,82,41,181	15,5,6,13	4,13,2,2	10,1,6,16	0,4,0,0	curve_fresh-0023.tsv
fresh-0024	15,12	14,24	5,22	23,10	5,9	2,0	curve_fresh-0024.tsv
fresh-0025	5,9,18	15,1,3	0,2,2	18,18,23	2,0,0	0,0,2	curve_fresh-0025.tsv
fresh-0026	14,25,8,17	24,21,24,0	40,43,191,64	5,2,2,3	43,110,162,39	10,0,8,0	curve_fresh-0026.tsv
fresh-0027	29,37	175,30	24,4	17,9	13,18	0,0	curve_fresh-0027.tsv
fresh-0028	22,7,14	11,4,22	5,13,4	1,13,17	11,20,14	4,0,0	curve_fresh-0028.tsv
fresh-0029	19,9,24,17	17,19,17,15	2,2,0,0	21,21,16,15	0,2,0,1	8,0,0,0	curve_fresh-0029.tsv
fresh-0030	6,14	0,22	43,163	12,1	63,114	0,0	curve_fresh-0030.tsv
fresh-0031	182,30,44	45,118,159	14,24,13	22,2,7	16,11,14	2,4,0	curve_fresh-0031.tsv
observed-two-job-gap	3,1	2,1	0,1	0,3	0,1	0,0	curve_observed-two-job-gap.tsv
published-four-job-zero-fee	3,7,5,1	2,2,6,2	0,0,0,0	0,0,0,0	0,0,0,0	0,1,1,2	curve_published-four-job-zero-fee.tsv
native-parent-control	2,2	5,5	1,1	1,1	1,1	0,1	curve_native-parent-control.tsv
native-fee-control	2	5	2	1	2	0	curve_native-fee-control.tsv
