0	0:0:0;1:0:0;2:0:0;3:0:0;4:0:0;5:0:0
1	0:0:10;1:10:0;2:10:0;3:10:0;4:10:0;5:10:0
2	0:0:8;1:8:0;2:8:0;3:8:0;4:8:0;5:8:0
3	0:0:10;1:10:8;2:18:0;3:18:0;4:18:0;5:18:0
4	0:0:6;1:6:0;2:6:0;3:6:0;4:6:0;5:6:0
5	0:0:10;1:10:6;2:16:0;3:16:0;4:16:0;5:16:0
6	0:0:8;1:8:6;2:14:0;3:14:0;4:14:0;5:14:0
7	0:0:10;1:10:8;2:18:6;3:24:0;4:24:0;5:24:0
8	0:0:4;1:4:0;2:4:0;3:4:0;4:4:0;5:4:0
9	0:0:10;1:10:4;2:14:0;3:14:0;4:14:0;5:14:0
10	0:0:8;1:8:4;2:12:0;3:12:0;4:12:0;5:12:0
11	0:0:10;1:10:8;2:18:4;3:22:0;4:22:0;5:22:0
12	0:0:6;1:6:4;2:10:0;3:10:0;4:10:0;5:10:0
13	0:0:10;1:10:6;2:16:4;3:20:0;4:20:0;5:20:0
14	0:0:8;1:8:6;2:14:4;3:18:0;4:18:0;5:18:0
15	0:0:10;1:10:8;2:18:6;3:24:4;4:28:0;5:28:0
16	0:0:2;1:2:0;2:2:0;3:2:0;4:2:0;5:2:0
17	0:0:10;1:10:2;2:12:0;3:12:0;4:12:0;5:12:0
18	0:0:8;1:8:2;2:10:0;3:10:0;4:10:0;5:10:0
19	0:0:10;1:10:8;2:18:2;3:20:0;4:20:0;5:20:0
20	0:0:6;1:6:2;2:8:0;3:8:0;4:8:0;5:8:0
21	0:0:10;1:10:6;2:16:2;3:18:0;4:18:0;5:18:0
22	0:0:8;1:8:6;2:14:2;3:16:0;4:16:0;5:16:0
23	0:0:10;1:10:8;2:18:6;3:24:2;4:26:0;5:26:0
24	0:0:4;1:4:2;2:6:0;3:6:0;4:6:0;5:6:0
25	0:0:10;1:10:4;2:14:2;3:16:0;4:16:0;5:16:0
26	0:0:8;1:8:4;2:12:2;3:14:0;4:14:0;5:14:0
27	0:0:10;1:10:8;2:18:4;3:22:2;4:24:0;5:24:0
28	0:0:6;1:6:4;2:10:2;3:12:0;4:12:0;5:12:0
29	0:0:10;1:10:6;2:16:4;3:20:2;4:22:0;5:22:0
30	0:0:8;1:8:6;2:14:4;3:18:2;4:20:0;5:20:0
31	0:0:10;1:10:8;2:18:6;3:24:4;4:28:2;5:30:0
