0	0:0:0;1:0:0;2:0:0;3:0:0;4:0:0;5:0:0
1	0:0:5;1:5:0;2:5:0;3:5:0;4:5:0;5:5:0
2	0:0:4;1:4:0;2:4:0;3:4:0;4:4:0;5:4:0
3	0:0:5;1:5:4;2:9:0;3:9:0;4:9:0;5:9:0
4	0:0:3;1:3:0;2:3:0;3:3:0;4:3:0;5:3:0
5	0:0:5;1:5:3;2:8:0;3:8:0;4:8:0;5:8:0
6	0:0:4;1:4:3;2:7:0;3:7:0;4:7:0;5:7:0
7	0:0:5;1:5:5;2:10:2;3:12:0;4:12:0;5:12:0
8	0:0:2;1:2:0;2:2:0;3:2:0;4:2:0;5:2:0
9	0:0:5;1:5:2;2:7:0;3:7:0;4:7:0;5:7:0
10	0:0:4;1:4:2;2:6:0;3:6:0;4:6:0;5:6:0
11	0:0:5;1:5:4;2:9:2;3:11:0;4:11:0;5:11:0
12	0:0:3;1:3:2;2:5:0;3:5:0;4:5:0;5:5:0
13	0:0:5;1:5:3;2:8:2;3:10:0;4:10:0;5:10:0
14	0:0:4;1:4:4;2:8:1;3:9:0;4:9:0;5:9:0
15	0:0:5;1:5:5;2:10:4;3:14:0;4:14:0;5:14:0
16	0:0:1;1:1:0;2:1:0;3:1:0;4:1:0;5:1:0
17	0:0:5;1:5:1;2:6:0;3:6:0;4:6:0;5:6:0
18	0:0:4;1:4:1;2:5:0;3:5:0;4:5:0;5:5:0
19	0:0:5;1:5:4;2:9:1;3:10:0;4:10:0;5:10:0
20	0:0:3;1:3:1;2:4:0;3:4:0;4:4:0;5:4:0
21	0:0:5;1:5:3;2:8:1;3:9:0;4:9:0;5:9:0
22	0:0:4;1:4:3;2:7:1;3:8:0;4:8:0;5:8:0
23	0:0:5;1:5:5;2:10:2;3:12:1;4:13:0;5:13:0
24	0:0:2;1:2:1;2:3:0;3:3:0;4:3:0;5:3:0
25	0:0:5;1:5:2;2:7:1;3:8:0;4:8:0;5:8:0
26	0:0:4;1:4:2;2:6:1;3:7:0;4:7:0;5:7:0
27	0:0:5;1:5:4;2:9:2;3:11:1;4:12:0;5:12:0
28	0:0:3;1:3:3;2:6:0;3:6:0;4:6:0;5:6:0
29	0:0:5;1:5:3;2:8:3;3:11:0;4:11:0;5:11:0
30	0:0:4;1:4:4;2:8:2;3:10:0;4:10:0;5:10:0
31	0:0:5;1:5:5;2:10:5;3:15:0;4:15:0;5:15:0
