campaign	phase	mode	r	period_us	n	B_min	B_median	B_max	B_below_r_plus32	inside_median	bound_median	Q_median	FG_us	BG_p95_us
balanced	measurement	baseline	0	0	60	7	64.0	64	1	NA	32.0	NA	1325.9789999999998	773.396
balanced	measurement	baseline	0	10	60	0	64.0	64	5	NA	32.0	NA	1381.771	244.9785
balanced	measurement	baseline	0	100	60	0	6.0	64	57	NA	6.0	NA	703.729	87.9375
balanced	measurement	baseline	0	1000	60	1	1.0	8	60	NA	1.0	NA	579.0835	57.7085
balanced	measurement	original	0	0	60	10	64.0	64	1	0.0	32.0	83.0	1491.542	832.2085
balanced	measurement	original	0	10	60	0	64.0	64	6	0.0	32.0	84.0	1516.5835	287.33349999999996
balanced	measurement	original	0	100	60	0	7.0	64	54	0.0	7.0	38.5	800.729	155.20850000000002
balanced	measurement	original	0	1000	60	0	1.0	6	60	0.0	1.0	33.0	618.8335	57.0415
balanced	measurement	three	0	0	60	5	27.5	64	50	26.5	27.5	32.0	787.479	1102.646
balanced	measurement	three	0	10	60	0	18.0	64	55	12.0	18.0	32.0	758.312	587.9580000000001
balanced	measurement	three	0	100	60	0	5.0	32	59	4.0	5.0	32.0	556.1665	62.313
balanced	measurement	three	0	1000	60	0	1.0	7	60	1.0	1.0	32.0	470.875	47.6875
balanced	measurement	three	2	0	60	0	33.0	64	37	29.0	31.0	34.0	1030.2705	1290.7085
balanced	measurement	three	2	10	60	0	23.0	61	52	18.5	21.0	34.0	902.9165	755.2915
balanced	measurement	three	2	100	60	1	5.0	35	59	3.0	3.0	34.0	645.7919999999999	73.3335
balanced	measurement	three	2	1000	60	0	1.0	6	60	0.0	0.0	33.0	532.5415	50.4375
balanced	measurement	two	0	0	60	0	0.0	0	60	32.0	0.0	32.0	658.125	1273.7085
balanced	measurement	two	0	10	60	0	0.0	1	60	32.0	0.0	32.0	674.9995	740.396
balanced	measurement	two	0	100	60	0	0.0	1	60	32.0	0.0	32.0	639.0835	408.6875
balanced	measurement	two	0	1000	60	0	0.0	1	60	32.0	0.0	32.0	646.9375	51.25
balanced	measurement	two	2	0	60	2	3.0	12	60	32.0	1.0	34.0	722.396	1386.583
balanced	measurement	two	2	10	60	0	3.0	16	60	32.0	1.0	34.0	738.4165	795.375
balanced	measurement	two	2	100	60	1	2.0	4	60	30.0	0.0	34.0	709.4585	265.354
balanced	measurement	two	2	1000	60	1	1.0	4	60	0.0	0.0	33.0	620.875	53.563
balanced	warmup	baseline	0	0	12	64	64.0	64	0	NA	32.0	NA	1841.5	1102.063
balanced	warmup	baseline	0	10	12	64	64.0	64	0	NA	32.0	NA	1818.417	384.70849999999996
balanced	warmup	baseline	0	100	12	8	8.0	11	12	NA	8.0	NA	808.1665	71.542
balanced	warmup	baseline	0	1000	12	1	1.0	8	12	NA	1.0	NA	786.8955000000001	69.104
balanced	warmup	original	0	0	12	64	64.0	64	0	0.0	32.0	84.5	1941.125	1124.583
balanced	warmup	original	0	10	12	64	64.0	64	0	0.0	32.0	83.5	1476.0	222.3745
balanced	warmup	original	0	100	12	4	8.0	13	12	0.0	8.0	40.0	854.25	116.7085
balanced	warmup	original	0	1000	12	1	1.0	9	12	0.0	1.0	33.0	733.5835	62.1875
balanced	warmup	three	0	0	12	21	28.0	32	11	28.0	28.0	32.0	1175.9995	1517.542
balanced	warmup	three	0	10	12	11	28.0	32	11	27.0	28.0	32.0	1144.0	1042.6665
balanced	warmup	three	0	100	12	2	8.0	9	12	8.0	8.0	32.0	763.7085	68.9375
balanced	warmup	three	0	1000	12	1	1.0	9	12	1.0	1.0	32.0	677.1875	69.646
balanced	warmup	three	2	0	12	12	32.0	35	8	29.0	30.0	34.0	1170.271	1486.354
balanced	warmup	three	2	10	12	8	26.5	36	7	24.0	24.5	34.0	1185.25	1116.208
balanced	warmup	three	2	100	12	2	8.0	22	12	6.0	6.0	34.0	828.9165	83.6455
balanced	warmup	three	2	1000	12	1	1.0	10	12	0.0	0.0	33.0	715.396	66.5415
balanced	warmup	two	0	0	12	0	0.0	0	12	32.0	0.0	32.0	722.25	1450.5415
balanced	warmup	two	0	10	12	0	0.0	28	12	32.0	0.0	32.0	1001.375	1299.1245
balanced	warmup	two	0	100	12	0	0.0	1	12	32.0	0.0	32.0	927.4585	704.25
balanced	warmup	two	0	1000	12	0	0.0	0	12	32.0	0.0	32.0	734.729	54.771
balanced	warmup	two	2	0	12	2	3.0	8	12	32.0	1.0	34.0	791.75	1444.5415
