arm	interval_us	n	Q_median	L_count_median	W_count_median	B_fg_median	FG_us_median	FG_us_p95	BG_e2e_median_us	BG_e2e_p95_us_median	enqueue_late_p95_us_median	FG_ratio_original	FG_ratio_baseline
baseline	0	30	NA	NA	NA	64.0	1203.0625	7472.833	429.104	744.271	14.1875	0.8872004932077011	1.0
baseline	10	30	NA	NA	NA	64.0	1190.5	4825.667	81.125	121.125	0.875	0.8094052825847665	1.0
baseline	100	30	NA	NA	NA	4.0	630.9375	1397.583	21.68725	68.4165	0.833	0.8354259671079679	1.0
baseline	1000	30	NA	NA	NA	1.0	492.9995	5049.042	25.4375	40.875	0.833	0.8036676952971535	1.0
original	0	30	83.0	0.0	83.0	64.0	1356.021	8194.667	465.9275	811.8335	13.896	1.0	1.1271409423866174
original	10	30	83.0	0.0	83.0	64.0	1470.833	8162.125	168.9895	260.1245	0.834	1.0	1.23547501049979
original	100	30	39.0	0.0	39.0	7.0	755.2285	10974.834	23.875	86.625	0.834	1.0	1.196994155522536
original	1000	30	33.0	0.0	33.0	1.0	613.437	3373.458	28.1665	48.5205	0.834	1.0	1.2442953796099185
two_r0	0	30	32.0	32.0	32.0	0.0	677.3335	7740.334	1055.86475	1350.8755	12.979	0.499500745194949	0.5630077406618526
two_r0	10	30	32.0	32.0	32.0	0.0	653.8125	7091.041	686.5525	725.4375	0.8545	0.4445185143384735	0.5491915161696767
two_r0	100	30	32.0	32.0	32.0	0.0	723.4375	4507.208	24.802500000000002	501.97950000000003	1.0	0.9579054551039851	1.146607231302625
two_r0	1000	30	32.0	32.0	32.0	0.0	765.2295	10031.333	27.594	54.083	0.9375	1.2474459479946596	1.5521912294028697
three_r0	0	30	32.0	28.5	60.5	28.5	1045.6875	5680.291	1093.86475	1349.646	12.896	0.7711440309552728	0.8691880097667412
three_r0	10	30	32.0	22.0	54.0	23.0	1009.333	7715.708	799.90575	816.021	0.8334999999999999	0.6862322235087192	0.8478227635447291
three_r0	100	30	32.0	7.0	39.0	7.0	685.4585	3623.917	22.62525	69.0	0.8334999999999999	0.9076173634866798	1.0864126795443287
three_r0	1000	30	32.0	1.0	33.0	1.0	617.7085	3282.333	27.01025	45.0215	0.833	1.0069632252374734	1.2529596886000898
two_r2	0	30	34.0	32.0	34.0	3.0	682.0835	4059.458	970.5417500000001	1228.1045	13.396	0.5030036407990731	0.5669559977141669
two_r2	10	30	34.0	32.0	34.0	3.0	679.0	4127.583	653.0835	671.646	0.9165000000000001	0.4616431641117652	0.5703485930281395
two_r2	100	30	34.0	29.0	34.0	2.0	686.1665	3449.041	22.46875	232.8125	0.896	0.9085548281083142	1.0875348192174343
two_r2	1000	30	33.0	0.0	33.0	1.0	581.354	861.292	26.39575	43.021	0.875	0.9476996007739996	1.179218234501252
three_r2	0	30	34.0	27.0	61.0	30.5	1048.4789999999998	10151.584	1066.57275	1360.0	13.021	0.7732026273929385	0.8715083380954853
three_r2	10	30	34.0	22.0	56.0	27.5	1065.521	4280.5	790.54125	920.1875	0.9165	0.7244337052540974	0.8950197396052079
three_r2	100	30	34.0	4.0	38.0	6.0	692.875	7460.541	22.93775	69.1875	0.875	0.9174375702188146	1.0981674096087173
three_r2	1000	30	33.0	0.0	33.0	1.0	559.646	4871.959	26.60425	45.521	0.875	0.9123121037694172	1.1351857354824901
