arm	interval_us	n	Q_median	L_count_median	W_count_median	B_fg_median	FG_us_median	FG_us_p95	BG_e2e_median_us	BG_e2e_p95_us_median	enqueue_late_p95_us_median	FG_ratio_original	FG_ratio_baseline
baseline	0	60	NA	NA	NA	64.0	1325.9789999999998	7611.958	448.448	773.396	14.5415	0.8889987677182405	1.0
baseline	10	60	NA	NA	NA	64.0	1381.771	4764.208	158.02075000000002	244.9785	0.875	0.9111077629421658	1.0
baseline	100	60	NA	NA	NA	6.0	703.729	3489.834	24.1455	87.9375	0.834	0.8788603884710058	1.0
baseline	1000	60	NA	NA	NA	1.0	579.0835	3761.625	27.0	57.7085	0.8955	0.9357662440704971	1.0
original	0	60	83.0	0.0	83.0	64.0	1491.542	5386.042	478.30199999999996	832.2085	12.5205	1.0	1.1248609517948627
original	10	60	84.0	0.0	84.0	64.0	1516.5835	8496.041	193.98925	287.33349999999996	0.875	1.0	1.097565008963135
original	100	60	38.5	0.0	38.5	7.0	800.729	6500.958	23.92675	155.20850000000002	0.875	1.0	1.137837150380331
original	1000	60	33.0	0.0	33.0	1.0	618.8335	3119.542	27.259999999999998	57.0415	0.9165000000000001	1.0	1.0686429504553316
two_r0	0	60	32.0	32.0	32.0	0.0	658.125	5086.625	1010.9794999999999	1273.7085	13.5205	0.441237993968658	0.49633138986364045
two_r0	10	60	32.0	32.0	32.0	0.0	674.9995	4752.625	713.5205000000001	740.396	0.875	0.4450790213661167	0.4885031600750052
two_r0	100	60	32.0	32.0	32.0	0.0	639.0835	3161.166	23.40625	408.6875	0.875	0.7981270816968037	0.9081386442792608
two_r0	1000	60	32.0	32.0	32.0	0.0	646.9375	5946.083	27.271250000000002	51.25	0.875	1.0454144773998175	1.1171748115772597
three_r0	0	60	32.0	26.5	58.5	27.5	787.479	3597.292	867.33325	1102.646	11.979	0.5279630074111222	0.5938849710289531
three_r0	10	60	32.0	12.0	44.0	18.0	758.312	5507.416	507.91675	587.9580000000001	0.875	0.5000133523805317	0.5487971595872254
three_r0	100	60	32.0	4.0	36.0	5.0	556.1665	3339.583	20.322499999999998	62.313	0.833	0.6945751933550552	0.7903134587319834
three_r0	1000	60	32.0	1.0	33.0	1.0	470.875	3606.667	23.249499999999998	47.6875	0.8545	0.7609074169384819	0.8131383470604844
two_r2	0	60	34.0	32.0	34.0	3.0	722.396	3176.5	1083.94775	1386.583	13.6665	0.48432829916958425	0.5448019915850855
two_r2	10	60	34.0	32.0	34.0	3.0	738.4165	3740.458	766.7917500000001	795.375	0.875	0.4868947209303016	0.5343986087419695
two_r2	100	60	34.0	30.0	34.0	2.0	709.4585	4918.25	23.4065	265.354	0.834	0.8860157431540507	1.0081416283825164
two_r2	1000	60	33.0	0.0	33.0	1.0	620.875	2151.708	26.96875	53.563	0.875	1.0032989487479267	1.0721683487787168
three_r2	0	60	34.0	29.0	63.0	33.0	1030.2705	4904.458	1008.8335	1290.7085	13.521	0.6907418631188396	0.7769885495924145
three_r2	10	60	34.0	18.5	52.5	23.0	902.9165	4550.75	709.06225	755.2915	0.875	0.5953622072243303	0.6534487263084838
three_r2	100	60	34.0	3.0	37.0	5.0	645.7919999999999	4800.333	21.2815	73.3335	0.8334999999999999	0.8065050722529093	0.9176714331795335
three_r2	1000	60	33.0	0.0	33.0	1.0	532.5415	3531.541	25.271	50.4375	0.875	0.8605569995806628	0.919628171066867
