mode	r	period_us	foreground_us	writer_response_median_us	writer_service_median_us	B_fg	Q	inside
baseline	0	0	1371.8745	464.27075	10.53125	64.0	NA	NA
baseline	0	10	1414.4585000000002	141.0525	10.9375	64.0	NA	NA
baseline	0	100	786.9169999999999	23.259999999999998	14.13575	5.0	NA	NA
baseline	0	1000	676.854	26.552500000000002	15.96875	1.0	NA	NA
original	0	0	1467.2085	452.573	10.625	64.0	83.0	0.0
original	0	10	1462.8125	168.208	10.792	64.0	82.0	0.0
original	0	100	919.896	24.24975	14.40625	8.0	40.0	0.0
original	0	1000	692.8335	26.521	15.1665	1.0	33.0	0.0
two	2	0	741.4795	1032.906	8.36475	3.0	34.0	32.0
two	2	10	758.604	719.104	8.187999999999999	3.0	34.0	32.0
two	2	100	782.104	23.5315	13.937750000000001	2.0	34.0	31.0
two	2	1000	683.375	25.323	15.219000000000001	1.0	33.0	0.0
three	2	0	1262.1875	1150.4375	16.68775	34.0	34.0	30.0
three	2	10	1200.729	866.29225	10.896	27.0	34.0	22.0
three	2	100	894.0205000000001	24.0315	15.2295	8.0	34.0	6.0
three	2	1000	730.4375	27.17725	16.448	1.0	33.0	0.0
per-job-two	1	0	1214.604	1231.417	16.17725	31.5	62.0	30.0
per-job-two	1	10	1176.979	974.30225	10.5105	24.0	54.0	22.0
per-job-two	1	100	966.5	24.3435	14.73975	9.0	40.0	8.0
per-job-two	1	1000	718.271	27.30175	16.2915	1.0	33.0	1.0
per-job-three	1	0	1485.2295	797.8435	11.2395	64.0	58.0	25.0
per-job-three	1	10	1393.1875	601.0	10.479	50.5	53.0	19.0
per-job-three	1	100	846.0625	22.21875	13.32275	7.0	37.0	1.0
per-job-three	1	1000	664.0419999999999	25.6145	14.8335	1.0	33.0	0.0
per-job-two	2	0	1465.146	771.8855000000001	11.624749999999999	64.0	79.5	23.5
per-job-two	2	10	1532.021	688.875	11.53125	57.0	77.0	22.0
per-job-two	2	100	890.0835	23.1665	14.29175	7.5	39.0	1.0
per-job-two	2	1000	707.2295	26.2085	15.52075	1.0	33.0	0.0
per-job-three	2	0	1453.958	657.2085	10.94825	64.0	66.0	17.0
per-job-three	2	10	1400.354	361.8025	10.625	64.0	64.5	16.0
per-job-three	2	100	778.1045	22.0935	12.937750000000001	7.0	38.0	0.0
per-job-three	2	1000	663.729	24.96875	14.48975	1.0	33.0	0.0
