arm	interval_us	n	Q_median	protected_full_transform_median	total_full_transform_median	B_fg_median	FG_us_median	FG_us_p95	BG_e2e_median_us	BG_e2e_p95_us_median	enqueue_late_p95_us_median	FG_ratio_original	FG_ratio_baseline
baseline	0	80	NA	NA	NA	64.0	1353.729	7839.666	431.23975	760.854	12.104	1.0788658164979172	1.0
baseline	10	80	NA	NA	NA	64.0	1261.4375	7045.083	127.97899999999998	186.8955	0.875	0.9631131895399886	1.0
baseline	100	80	NA	NA	NA	6.0	704.4794999999999	3798.458	22.4895	62.2705	0.834	1.0057706790398857	1.0
baseline	1000	80	NA	NA	NA	1.0	595.875	4109.625	23.58325	37.4165	0.875	1.0327865869035642	1.0
original	0	80	84.0	0.0	84.0	64.0	1254.7705	5566.417	399.9475	715.229	11.8125	1.0	0.9268993277088694
original	10	80	84.0	0.0	84.0	64.0	1309.75	7114.917	108.9685	184.16649999999998	0.875	1.0	1.0382995590348314
original	100	80	37.0	0.0	37.0	6.0	700.4375	3956.375	21.8855	51.021	0.792	1.0	0.9942624306314095
original	1000	80	33.0	0.0	33.0	1.0	576.9585	3960.833	23.23975	36.1045	0.833	1.0	0.9682542479546884
two_r0	0	80	32.0	32.0	32.0	0.0	656.8745	1108.625	983.97925	1262.3955	12.687999999999999	0.5235017080812786	0.4852333812749819
two_r0	10	80	32.0	32.0	32.0	0.0	669.708	1782.625	716.427	728.979	0.875	0.5113250620347395	0.5309085864341277
two_r0	100	80	32.0	32.0	32.0	0.0	689.3544999999999	3444.083	23.63575	467.1875	0.834	0.9841770322120102	0.9785302482187204
two_r0	1000	80	32.0	32.0	32.0	0.0	689.125	4201.875	24.30175	37.8125	0.833	1.1944099965595447	1.1564925529683239
three_r0	0	80	32.0	29.0	61.0	29.0	1011.813	4255.833	1045.354	1293.854	12.1875	0.8063729582421646	0.7474265528772746
three_r0	10	80	32.0	21.0	53.0	25.0	1013.604	4120.708	766.0415	816.2495	0.875	0.7738912006108036	0.8035308923351335
three_r0	100	80	32.0	6.0	38.0	6.0	713.354	6889.041	21.61475	85.167	0.834	1.0184406174712235	1.0125972437806923
three_r0	1000	80	32.0	1.0	33.0	1.0	553.771	3568.334	22.83325	35.563	0.833	0.959810800950155	0.9293408852527795
two_r2	0	80	34.0	32.0	34.0	3.0	603.875	3954.75	846.61475	1198.687	11.9585	0.48126330671624806	0.4460826354462378
two_r2	10	80	34.0	32.0	34.0	3.0	653.0	3853.5	689.7915	735.7285	0.875	0.4985684290895209	0.5176633800723381
two_r2	100	80	34.0	29.0	34.0	2.0	666.3755	6965.0	22.52075	306.10400000000004	0.833	0.9513703935040599	0.9459118398761072
two_r2	1000	80	33.0	0.0	33.0	1.0	635.271	7135.75	22.51075	37.4165	0.833	1.1010687943760253	1.066114537444934
three_r2	0	80	34.0	28.5	62.5	32.0	993.5415	4015.958	976.53125	1310.542	11.542	0.7918113312354729	0.7339293905944247
three_r2	10	80	34.0	18.0	52.0	22.0	888.104	4077.25	697.1980000000001	731.4375	0.834	0.6780713876694026	0.7040412228112769
three_r2	100	80	34.0	2.0	36.0	5.0	693.979	3798.583	21.906	59.9995	0.833	0.9907793343446061	0.985094669184838
three_r2	1000	80	33.0	0.0	33.0	1.0	545.9580000000001	934.5	23.333	36.125	0.833	0.9462690990773168	0.9162290748898679
rebase_r0	0	80	32.0	0.0	32.0	29.0	1027.8335	6642.292	1056.30225	1343.5414999999998	11.5625	0.819140631693206	0.7592609008154512
rebase_r0	10	80	32.0	0.0	32.0	22.5	858.521	4372.083	738.25	803.5830000000001	0.875	0.6554846344722275	0.6805894069266214
rebase_r0	100	80	32.0	0.0	32.0	6.0	680.9585	3540.292	22.313000000000002	63.0835	0.833	0.9721902382439546	0.9666122293125634
rebase_r0	1000	80	32.0	0.0	32.0	1.0	570.75	6357.208	22.802	34.813	0.833	0.9892392607093925	0.9578351164254248
rebase_r2	0	80	32.0	0.0	32.0	30.0	1144.5415	7048.292	1143.1455	1459.542	12.167	0.9121520628672733	0.8454731338399339
rebase_r2	10	80	32.0	0.0	32.0	26.0	1085.7289999999998	7233.666	815.0105	838.896	0.875	0.8289589616338995	0.8607077243224495
rebase_r2	100	80	32.0	0.0	32.0	7.0	792.8330000000001	4492.125	23.56225	88.021	0.833	1.1319111269742126	1.1254167083641187
rebase_r2	1000	80	32.0	0.0	32.0	1.0	615.5205000000001	3717.334	24.11475	37.208	0.792	1.0668366962268518	1.0329691629955948
