mode	r	period_us	n	FG_us_median	BG_p95_us_median	observed_protected_us_median	observed_protected_call_p95_us_median	Q_median	full_inside_total	rebase_total
three	0	0	60	1038.7710000000002	1426.8335	497.687	21.583	32.0	1488	0
three	0	10	60	936.437	726.0205000000001	413.563	20.354	32.0	1182	0
three	0	100	60	767.5835	207.91649999999998	220.96	18.396	32.0	402	0
three	0	1000	60	613.4375	53.3955	162.83350000000002	7.9375	32.0	92	0
three	2	0	60	1115.1045	1500.354	514.206	21.021	34.0	1496	0
three	2	10	60	1121.563	904.938	470.47950000000003	21.875	34.0	1209	0
three	2	100	60	802.3125	116.625	220.7705	18.500500000000002	34.0	271	0
three	2	1000	60	683.354	50.063	144.166	7.354	33.0	0	0
rebase	0	0	60	971.1875	1390.1875	444.1685	24.3545	32.0	0	1335
rebase	0	10	60	887.396	831.875	325.313	19.396	32.0	0	924
rebase	0	100	60	683.4375	144.29149999999998	207.83100000000002	18.292	32.0	0	342
rebase	0	1000	60	611.4169999999999	50.9165	171.7725	8.437000000000001	32.0	0	80
rebase	2	0	60	1155.271	1500.75	528.146	22.375	32.0	0	1497
rebase	2	10	60	1040.8755	851.9585	404.95799999999997	23.104	32.0	0	991
rebase	2	100	60	794.729	97.667	243.2095	20.5	32.0	0	373
rebase	2	1000	60	661.4785	53.6045	176.1465	7.708	32.0	0	68
batch	0	0	60	1154.833	1477.604	512.125	23.2915	32.0	0	1419
batch	0	10	60	1039.854	820.5415	416.7265	22.5205	32.0	0	1036
batch	0	100	60	782.646	73.667	234.353	18.7915	32.0	0	408
batch	0	1000	60	624.0205000000001	51.375	157.43900000000002	7.438	32.0	0	69
batch	2	0	60	1046.333	1376.8545	486.874	19.7915	32.0	0	1552
batch	2	10	60	1000.1875	809.083	429.289	21.479	32.0	0	1147
batch	2	100	60	795.7080000000001	137.14600000000002	247.83249999999998	19.438000000000002	32.0	0	389
batch	2	1000	60	647.979	52.0835	164.7905	7.8335	32.0	0	79
