id,name,n,initial_k,source_attempt,steps,constructor_comparisons,constructor_swaps,constructor_line_events,persistent_array_slots,query_max_comparisons,query_max_swaps,query_max_line_events,query_max_repairs,complete_max_comparisons,complete_max_swaps,complete_max_line_events,complete_max_repairs
streams-000000,n1-all_mismatch,1,0,attempt01,1,0,0,30,6,0,0,30,0,0,0,50,2
streams-000001,n1-alternating,1,0,attempt01,1,0,0,30,6,0,0,30,0,0,0,50,2
streams-000002,n1-half_completed_fresh,1,0,attempt01,1,0,0,30,6,0,0,30,0,0,0,50,2
streams-000003,n2-all_mismatch,2,0,attempt01,2,1,1,53,12,0,0,32,0,1,1,66,3
streams-000004,n2-alternating,2,0,attempt01,2,1,1,53,12,0,0,32,0,1,1,66,3
streams-000005,n2-half_completed_fresh,2,0,attempt01,1,1,0,48,12,0,0,30,0,1,0,60,3
streams-000006,n4-all_mismatch,4,0,attempt01,4,3,1,81,24,0,0,32,0,4,2,136,7
streams-000007,n4-alternating,4,0,attempt01,4,3,1,81,24,0,0,32,0,5,4,154,7
streams-000008,n4-half_completed_fresh,4,1,attempt01,2,6,3,137,24,0,0,32,0,5,3,152,6
streams-000009,n8-all_mismatch,8,0,attempt01,8,11,5,182,48,0,0,32,0,12,8,220,7
streams-000010,n8-alternating,8,0,attempt01,8,11,5,182,48,0,0,32,0,8,6,156,5
streams-000011,n8-half_completed_fresh,8,2,attempt01,4,18,8,296,48,0,0,32,0,12,8,221,7
streams-000012,n16-all_mismatch,16,0,attempt01,16,25,12,365,96,0,0,32,0,23,16,328,7
streams-000013,n16-alternating,16,0,attempt01,16,25,12,365,96,0,0,32,0,24,16,340,7
streams-000014,n16-half_completed_fresh,16,4,attempt01,8,49,23,671,96,0,0,32,0,22,15,317,7
streams-000015,n32-all_mismatch,32,0,attempt01,32,54,20,700,192,0,0,32,0,33,21,418,7
streams-000016,n32-alternating,32,0,attempt01,32,54,20,700,192,0,0,32,0,33,24,431,7
streams-000017,n32-half_completed_fresh,32,8,attempt01,16,124,65,1574,192,0,0,32,0,28,19,375,7
streams-000018,n64-all_mismatch,64,0,attempt01,64,106,44,1392,384,0,0,32,0,42,28,502,7
streams-000019,n64-alternating,64,0,attempt01,64,106,44,1392,384,0,0,32,0,41,26,490,7
streams-000020,n64-half_completed_fresh,64,16,attempt01,32,294,156,3535,384,0,0,32,0,43,28,516,7
streams-000021,n128-all_mismatch,128,0,attempt01,128,236,95,2926,768,0,0,32,0,52,35,600,7
streams-000022,n128-alternating,128,0,attempt01,128,236,95,2926,768,0,0,32,0,52,35,600,7
streams-000023,n128-half_completed_fresh,128,32,attempt01,64,686,366,7900,768,0,0,32,0,53,35,611,7
streams-000024,n256-all_mismatch,256,0,attempt01,256,483,190,5883,1536,0,0,32,0,59,40,668,7
streams-000025,n256-alternating,256,0,attempt01,256,483,190,5883,1536,0,0,32,0,63,41,702,7
streams-000026,n256-half_completed_fresh,256,64,attempt01,128,1587,863,17728,1536,0,0,32,0,62,43,704,7
streams-000027,n512-all_mismatch,512,0,attempt01,512,956,402,11827,3072,0,0,32,0,69,46,767,7
streams-000028,n512-alternating,512,0,attempt01,512,956,402,11827,3072,0,0,32,0,71,47,781,7
streams-000029,n512-half_completed_fresh,512,128,attempt01,256,3597,1993,39340,3072,0,0,32,0,72,48,795,7
streams-000030,n1024-all_mismatch,1024,0,attempt01,1024,1899,745,23199,6144,0,0,32,0,79,54,868,7
streams-000031,n1024-alternating,1024,0,attempt01,1024,1899,745,23199,6144,0,0,32,0,83,55,902,7
streams-000032,n1024-half_completed_fresh,1024,256,attempt01,512,7877,4440,85119,6144,0,0,32,0,82,56,894,7
streams-000033,n2048-all_mismatch,2048,0,attempt01,2048,3898,1582,47426,12288,0,0,32,0,89,61,964,7
streams-000034,n2048-alternating,2048,0,attempt01,2048,3898,1582,47426,12288,0,0,32,0,90,61,963,7
streams-000035,n2048-half_completed_fresh,2048,512,attempt01,1024,17374,9969,185695,12288,0,0,32,0,91,62,987,7
streams-000036,n4096-all_mismatch,4096,0,attempt01,4096,7780,3135,94655,24576,0,0,32,0,103,70,1097,7
streams-000037,n4096-alternating,4096,0,attempt02,4096,7780,3135,94655,24576,0,0,32,0,101,67,1070,7
streams-000038,n4096-half_completed_fresh,4096,1024,attempt02,2048,37852,21966,400514,24576,0,0,32,0,101,70,1079,7
