family,model_id,k,passes_family_syntax,passes_semantic_factor_certificate,block_count,witness,model_sha256
independent,independent_k02,2,True,True,2,"typed local game, rank-sum/kappa certificate, and independent consumer passed",7cd31a6ea0603e6306ca51677521789d315d620fae0fa13c742e510ec48276d0
independent,independent_k04,4,True,True,4,"typed local game, rank-sum/kappa certificate, and independent consumer passed",0da1146264f475ece8bedb42cd6a4bd7f493f1843992f555a493dfc9080ed7c4
independent,independent_k06,6,True,True,6,"typed local game, rank-sum/kappa certificate, and independent consumer passed",b4376c67b3df27ce92677fc432986a420ca04512e98ebb69119c630206f4e3af
independent,independent_k08,8,True,True,8,"typed local game, rank-sum/kappa certificate, and independent consumer passed",589e3a8d0e15f38c60190577a3fed97f4d6db4d4d03aabaa5fb88fa1d51e4d2c
independent,independent_k10,10,True,True,10,"typed local game, rank-sum/kappa certificate, and independent consumer passed",1d587cfde23d8e187879af3ef8b6acbd76e19582076dc67da0460b4232c08720
independent,independent_k12,12,True,True,12,"typed local game, rank-sum/kappa certificate, and independent consumer passed",e685d0bc2b1467f335a759aadf670b27c9a453a2b8756182beb971866443b6fb
independent,independent_k16,16,True,True,16,"typed local game, rank-sum/kappa certificate, and independent consumer passed",26e0708208c110a8cfb64312f73176b26f11e17de9dffd989b061638f572b857
independent,independent_k20,20,True,True,20,"typed local game, rank-sum/kappa certificate, and independent consumer passed",8b82e433f53fca4f2eeb3fc312d931a497a17d71fd84b0e92b57f1a54fe7518a
travel,travel_agency_n01_k01,,False,False,1,shared nonstuttering completion actions couple agency and services,2c284cc76e7987738094dc9a6ba7d6d613327db76f7afce5746238fbabafddcf
travel,travel_agency_n01_k02,,False,False,1,shared nonstuttering completion actions couple agency and services,7647cbb4c46778bbd57e7ba0c5cb955f0afa5022287bfd164db024fe7e0108af
travel,travel_agency_n01_k04,,False,False,1,shared nonstuttering completion actions couple agency and services,a382fd3c2ecb0bcb637c7e3ab4bb4b5eeafe74a72d1f151f774c4ae2932e896a
travel,travel_agency_n02_k01,,False,False,1,shared nonstuttering completion actions couple agency and services,a80f154b66e748530a78d49f7d6559598bdb8e7c8189ab3956d1931ca5fb556d
travel,travel_agency_n02_k02,,False,False,1,shared nonstuttering completion actions couple agency and services,0f24cb5d048020ff4e5f81b0a83d8a5caa0e4b20556a1a690cae8d026b7bf604
travel,travel_agency_n02_k04,,False,False,1,shared nonstuttering completion actions couple agency and services,50eb9f5362f914ec025261b52a6a440db38bd720626627d0b48781fb69ddae89
travel,travel_agency_n03_k01,,False,False,1,shared nonstuttering completion actions couple agency and services,5c329a8e18dd4986eb954585ce6a584ef59d6f50c4f00cb3b8c9da266afc7c61
travel,travel_agency_n03_k02,,False,False,1,shared nonstuttering completion actions couple agency and services,e1bfc4ec2a0da9fca5083e965eedf4484583e92f35a531ad0d7587454493066e
travel,travel_agency_n03_k04,,False,False,1,shared nonstuttering completion actions couple agency and services,8b3ba9b3c6cf8fc80213d08f5e2679d11426f23748420e4b47441c354bf85a82
travel,travel_agency_n04_k01,,False,False,1,shared nonstuttering completion actions couple agency and services,aa77c142e31c981418ea03049014a7fd31d1b0f9826ee8e851963553125fea78
travel,travel_agency_n04_k02,,False,False,1,shared nonstuttering completion actions couple agency and services,5d5ab397e5064531db207dded7ef3abd2424b92f607906be724c09752be10439
travel,travel_agency_n04_k04,,False,False,1,shared nonstuttering completion actions couple agency and services,283811428d2fade714988e980ee19a90992f43dd61270301ee297fe4d47732a5
