native-final-00	4,2,3	15,19,11	2,0,2	31,16,23	45,114,44	12	8	profiles/native-final-00.tsv
native-final-01	11,11,7	11,18,13	4,0,0	87,88,56	77,126,143	77	8	profiles/native-final-01.tsv
native-final-02	3,11,9	15,4,4	0,1,1	24,87,71	495,36,44	99	8	profiles/native-final-02.tsv
native-final-03	4,2,1	15,23,2	4,4,0	31,15,8	15,46,8	4	8	profiles/native-final-03.tsv
native-final-04	3,1,9	6,2,2	0,0,2	24,8,71	18,18,2	9	8	profiles/native-final-04.tsv
native-final-05	9,2,10	16,0,13	0,0,2	72,16,79	160,0,117	90	8	profiles/native-final-05.tsv
native-final-06	9,7,2	7,23,23	4,0,0	71,56,16	98,414,1449	126	8	profiles/native-final-06.tsv
native-final-07	7,3,3	12,1,7	2,0,0	55,24,24	36,7,49	21	8	profiles/native-final-07.tsv
native-final-08	9,9,7	1,20,6	0,1,1	72,71,55	7,140,54	63	8	profiles/native-final-08.tsv
native-final-09	10,11,4	2,9,22	0,0,3	80,88,30	44,180,1210	220	8	profiles/native-final-09.tsv
native-final-10	3,12,6	1,1,13	6,4,0	22,95,48	4,1,26	12	8	profiles/native-final-10.tsv
native-final-11	3,2,1	0,21,16	0,1,1	24,15,7	0,63,96	6	8	profiles/native-final-11.tsv
native-final-12	9,4,1	21,6,11	0,0,3	72,32,6	84,54,396	36	8	profiles/native-final-12.tsv
native-final-13	1,2,4	3,10,16	0,4,0	8,15,32	12,20,16	4	8	profiles/native-final-13.tsv
native-final-14	1,4,3	16,21,10	0,0,3	8,32,22	192,63,40	12	8	profiles/native-final-14.tsv
native-final-15	7,2,7	0,2,6	0,5,0	56,14,56	0,14,12	14	8	profiles/native-final-15.tsv
native-final-16	10,1,1,9	4,4,6,18	4,4,0,2	79,7,8,71	36,360,540,180	90	8	profiles/native-final-16.tsv
native-final-17	1,11,1,1	4,21,17,17	0,13,0,0	8,85,8,8	44,21,187,187	11	8	profiles/native-final-17.tsv
native-final-18	11,7,1,1	1,17,13,8	4,0,0,0	87,56,8,8	7,187,1001,616	77	8	profiles/native-final-18.tsv
native-final-19	5,8,8,4	17,13,13,15	0,12,1,0	40,62,63,32	136,65,65,150	40	8	profiles/native-final-19.tsv
native-final-20	3,6,4,2	11,23,22,23	0,13,1,0	24,45,31,16	44,46,66,138	12	8	profiles/native-final-20.tsv
native-final-21	8,8,9,10	24,5,19,13	0,0,0,7	64,64,72,77	1080,225,760,468	360	8	profiles/native-final-21.tsv
native-final-22	3,6,10,12	24,10,11,14	0,0,0,1	24,48,80,95	480,100,66,70	60	8	profiles/native-final-22.tsv
native-final-23	12,1,5,1	6,17,16,16	12,0,8,0	94,8,39,8	30,1020,192,960	60	8	profiles/native-final-23.tsv
native-final-24	2,11,1,11	22,17,20,24	2,0,2,1	15,88,7,87	242,34,440,48	22	8	profiles/native-final-24.tsv
native-final-25	3,5,1,2	4,21,20,11	0,1,11,0	24,39,5,16	40,126,600,165	30	8	profiles/native-final-25.tsv
native-final-26	10,9,8,1	19,7,5,17	0,13,0,0	80,69,64,8	684,280,225,6120	360	8	profiles/native-final-26.tsv
native-final-27	3,9,1,12	13,12,10,23	8,0,9,0	23,72,6,96	156,48,360,69	36	8	profiles/native-final-27.tsv
native-final-28	9,2,3,1	17,8,13,23	2,0,0,6	71,16,24,6	34,72,78,414	18	8	profiles/native-final-28.tsv
native-final-29	6,1,5,5	12,8,8,2	0,1,0,5	48,7,40,38	60,240,48,12	30	8	profiles/native-final-29.tsv
native-final-30	8,9,5,8	2,2,2,9	2,0,0,2	63,72,40,63	90,80,144,405	360	8	profiles/native-final-30.tsv
native-final-31	12,2,5,11	0,17,20,5	0,0,1,0	96,16,39,88	0,5610,2640,300	660	8	profiles/native-final-31.tsv
native-final-32	2,6,11,12,8	16,19,14,4,13	0,0,17,17,0	16,48,86,94,64	2112,836,336,88,429	264	8	profiles/native-final-32.tsv
native-final-33	4,11,7,9,5	4,9,19,11,14	0,1,0,1,0	32,87,56,71,40	13860,11340,37620,16940,38808	13860	8	profiles/native-final-33.tsv
native-final-34	7,10,7,10,1	12,14,17,16,11	16,16,16,1,0	55,79,55,79,8	120,98,170,112,770	70	8	profiles/native-final-34.tsv
native-final-35	10,5,9,2,9	22,23,5,18,4	24,8,0,0,14	78,39,72,16,69	198,414,50,810,40	90	8	profiles/native-final-35.tsv
native-final-36	1,10,1,10,1	2,23,24,13,8	0,29,0,16,0	8,76,8,79,8	20,23,240,13,80	10	8	profiles/native-final-36.tsv
native-final-37	9,3,9,9,12	22,7,14,14,11	0,0,10,2,3	72,24,70,71,94	88,84,56,56,33	36	8	profiles/native-final-37.tsv
native-final-38	2,2,10,9,8	6,23,24,14,8	0,0,17,3,0	16,16,78,70,64	1080,4140,864,560,360	360	8	profiles/native-final-38.tsv
native-final-39	10,6,7,4,10	16,19,0,6,7	2,0,0,0,8	79,48,56,32,79	672,1330,0,630,294	420	8	profiles/native-final-39.tsv
native-final-40	1,3,3,7,4	0,2,24,2,13	6,0,0,0,2	6,24,24,56,31	0,56,672,24,273	84	8	profiles/native-final-40.tsv
native-final-41	7,6,7,1,10	24,22,9,17,7	0,0,0,6,0	56,48,56,6,80	720,770,270,3570,147	210	8	profiles/native-final-41.tsv
native-final-42	6,7,12,11,3	10,8,12,2,18	0,0,0,3,9	48,56,96,86,22	1540,1056,924,168,5544	924	8	profiles/native-final-42.tsv
native-final-43	8,2,8,5,1	21,21,14,9,0	2,0,0,1,10	63,16,64,39,6	105,420,70,72,0	40	8	profiles/native-final-43.tsv
