0	0:0:0
1	0:0:7;3:21:3;4:24:0
8	0:0:1;17:17:0
9	0:0:7;3:21:3;4:24:1;21:41:0
10	0:0:6;4:24:3;5:27:1;17:39:0
11	0:0:7;3:21:6;7:45:5;8:50:1;21:63:0
12	0:0:7;1:7:4;2:11:1;17:26:0
13	0:0:7;4:28:6;5:34:1;21:50:0
14	0:0:7;1:7:6;6:37:1;17:48:0
15	0:0:7;4:28:6;9:58:3;10:61:1;21:72:0
16	0:0:7;1:7:0
17	0:0:7;4:28:3;5:31:0
24	0:0:7;1:7:1;18:24:0
25	0:0:7;4:28:3;5:31:1;22:48:0
26	0:0:7;1:7:6;5:31:3;6:34:1;18:46:0
27	0:0:7;4:28:6;8:52:5;9:57:1;22:70:0
28	0:0:7;2:14:4;3:18:1;18:33:0
29	0:0:7;5:35:6;6:41:1;22:57:0
30	0:0:7;2:14:6;7:44:1;18:55:0
31	0:0:7;5:35:6;10:65:3;11:68:1;22:79:0
